idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
100,2026-01-28 10:00:25.281679-05:00,short,discretionary_or_unclassified,35.16,1,26256.0,26114.5,25917.25,26075.5,141.5,338.75,180.5,177.75,6.0,6.0,25950.77121197239,25791.36221799521,above,doji,-0.5079054698478375,-0.6184001684084888
101,2026-01-28 12:31:02.865287-05:00,long,discretionary_or_unclassified,-5.09,1,26131.25,26114.5,25917.25,26075.5,16.75,214.0,55.75,177.75,-18.75,18.75,25984.822919551098,25818.106184316228,above,red_against,-1.0496880900230214,-0.9759723080905964
102,2026-01-29 10:30:25.310555-05:00,long,inverse_orb_candidate,7.874285714282596,4,25639.178571428572,26305.25,26100.75,26151.0,-666.0714285714275,-461.57142857142753,-511.82142857142753,-18.0,-10.821428571427532,10.821428571427532,26024.27804326523,25867.83017779086,below,doji,0.2867440908786251,-0.7831875806763838
103,2026-01-30 09:38:25.473614-05:00,short,pre_or_locked_trade,55.16,1,25881.0,26177.25,25536.0,25992.75,-296.25,345.0,-111.75,-158.5,-19.0,19.0,25927.20646938631,25852.619713281612,below,green_against,-0.4752021794112753,-0.4468104192427049
104,2026-01-30 11:17:28.271564-05:00,short,orb_breakout_or_retest_candidate,41.16,1,25805.75,26177.25,25536.0,25992.75,-371.5,269.75,-187.0,-158.5,5.75,5.75,25910.493277660902,25851.25564459406,below,breakout_down,-1.0611476114775296,-0.8389289047931191
105,2026-02-02 10:16:20.427572-05:00,short,inverse_orb_candidate,31.66,2,25860.75,25939.25,25568.75,25676.75,-78.5,292.0,184.0,-134.75,10.75,10.75,25820.16438485815,25821.263120220854,above,green_against,-1.1861745954208474,-0.7145298115897588
106,2026-02-03 10:04:07.758503-05:00,long,inverse_orb_candidate,-0.09000000000000008,4,25493.625,25949.0,25540.25,25856.25,-455.375,-46.625,-362.625,78.25,-6.375,6.375,25827.880126864915,25826.60427810278,below,red_against,0.5349346242227175,0.4472317370522558
107,2026-02-03 14:38:28.431381-05:00,long,inverse_orb_candidate,1.66,1,25303.75,25949.0,25540.25,25856.25,-645.25,-236.5,-552.5,78.25,3.75,3.75,25693.474028378932,25767.896786882047,below,doji,-0.3133572105679714,-0.548883294414996
108,2026-02-04 09:49:26.339423-05:00,short,discretionary_or_unclassified,101.41,1,25215.125,25952.5,25218.0,25446.0,-737.375,-2.875,-230.875,-61.0,15.125,15.125,25637.443592391824,25738.27515774848,below,neutral_down,-0.7598440268936628,-0.3835416243188503
109,2026-02-04 12:39:53.408073-05:00,long,discretionary_or_unclassified,11.66,1,24821.75,25952.5,25218.0,25446.0,-1130.75,-396.25,-624.25,-61.0,21.75,21.75,25504.286157025756,25669.186455691637,below,red_against,-0.8986104398994609,-0.897988872059888
110,2026-02-05 13:49:09.496477-05:00,short,orb_breakout_or_retest_candidate,22.66,1,24717.75,25386.5,24784.0,24998.0,-668.75,-66.25,-280.25,-227.0,17.75,17.75,25142.286075358155,25446.93695208755,below,green_against,-1.2153432225390812,-1.0078386897443092
111,2026-02-06 10:50:35.479641-05:00,short,discretionary_or_unclassified,3.0842424242402195,99,25034.46212121212,24961.25,24537.0,24639.0,73.21212121212011,497.4621212121201,395.4621212121201,121.5,-15.53787878787989,15.53787878787989,25006.889719955936,25340.734080824986,above,breakout_down,0.5684579907768433,-0.12652579347429196
112,2026-02-06 13:32:12.993523-05:00,short,inverse_orb_candidate,47.66,1,25092.0,24961.25,24537.0,24639.0,130.75,555.0,453.0,121.5,-8.0,8.0,25005.825622414184,25302.071212240982,above,neutral_down,-1.1704620708291629,-0.9335022102766257
113,2026-02-09 10:59:29.018099-05:00,short,inverse_orb_candidate,5.66,2,25365.25,25221.5,24700.5,25147.5,143.75,664.75,217.75,-89.75,15.25,15.25,25038.803502340274,25272.866309426434,above,breakout_down,-0.8020038104829924,-0.8504851864743028
116,2026-02-10 10:25:56.985680-05:00,short,discretionary_or_unclassified,0.6599999999999999,1,25382.0,25429.0,24955.5,25338.5,-47.0,426.5,43.5,37.75,-18.0,18.0,25204.499360919923,25295.706144572527,above,green_against,-0.1842256286708721,-0.21796032832003168
117,2026-02-11 09:55:11.423520-05:00,short,discretionary_or_unclassified,199.66,1,25312.375,25447.0,25197.5,25219.25,-134.625,114.875,93.125,199.25,12.375,12.375,25252.38504946976,25299.924104937745,above,rejection_high,-1.2003854880686977,-1.165594495206007
118,2026-02-12 09:55:01.363693-05:00,short,discretionary_or_unclassified,105.66,1,25271.5,25465.5,25058.0,25278.25,-194.0,213.5,-6.75,68.5,21.5,21.5,25262.146557914075,25292.643814998282,above,breakout_down,-1.2880416845205633,-0.8416103021713272
119,2026-02-12 12:01:36.779246-05:00,long,discretionary_or_unclassified,0.6599999999999999,1,24839.5,25465.5,25058.0,25278.25,-626.0,-218.5,-438.75,68.5,-10.5,10.5,25199.61254084145,25262.66406352559,below,doji,-0.677098478044627,-0.8699878548395453
120,2026-02-13 10:41:38.674383-05:00,long,orb_breakout_or_retest_candidate,-97.34,1,24825.0,25393.75,24721.5,24764.0,-568.75,103.5,61.0,-21.25,25.0,25.0,25046.25559425807,25181.537607964074,below,doji,-0.9834240498855532,-0.4521309883826832
121,2026-02-13 10:45:00.980024-05:00,short,inverse_orb_candidate,26.16,4,24911.1875,25393.75,24721.5,24764.0,-482.5625,189.6875,147.1875,-21.25,11.1875,11.1875,25046.25559425807,25181.537607964074,below,green_against,-0.6376308975079017,-0.7083484661656867
123,2026-02-17 09:53:59.546958-05:00,short,discretionary_or_unclassified,81.41,1,24618.375,24995.5,24578.75,24803.0,-377.125,39.625,-184.625,-144.25,18.375,18.375,24967.22411992434,25115.602112548608,below,breakout_down,-0.04306403539419134,-0.11520773050069662
124,2026-02-18 11:03:53.001946-05:00,short,discretionary_or_unclassified,110.66,1,25087.75,24889.5,24449.25,24775.75,198.25,638.5,312.0,33.25,-12.25,12.25,24878.410071368082,25018.411737621453,above,rejection_high,-1.3386177403456025,-1.1807905671229373
125,2026-02-19 10:12:22.198450-05:00,short,ema_continuation_candidate,129.16,1,24916.5,25128.5,24752.0,24958.0,-212.0,164.5,-41.5,-124.0,16.5,16.5,24921.02993418327,25010.225038122007,near,doji,0.12860766848299848,-0.6681131026030159
126,2026-02-20 10:19:17.789331-05:00,short,discretionary_or_unclassified,78.66,1,25059.583333333332,24961.75,24748.0,24862.75,97.83333333333212,311.5833333333321,196.83333333333212,-147.5,9.58333333333212,9.58333333333212,24883.560976675748,24970.239044959017,above,neutral_down,-0.424092361183517,0.057951332657034435
