rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
orb_break,long,2026-03-24 10:57:00-04:00,24318.5,2026-03-24 10:58:00-04:00,24288.0,stop,-62.34,2026-03-24,wide
orb_retest,long,2026-03-24 10:58:00-04:00,24278.5,2026-03-24 10:59:00-04:00,24248.0,stop,-62.34,2026-03-24,wide
inverse_orb,short,2026-03-24 10:59:00-04:00,24243.5,2026-03-24 10:59:00-04:00,24274.0,stop,-62.34,2026-03-24,wide
ema_continuation,long,2026-03-24 15:29:00-04:00,24267.5,2026-03-24 15:35:00-04:00,24237.0,stop,-62.34,2026-03-24,wide
ema_continuation,short,2026-03-24 10:53:00-04:00,24312.75,2026-03-24 10:59:00-04:00,24253.25,target,117.66,2026-03-24,wide
orb_break,short,2026-03-25 09:50:00-04:00,24380.0,2026-03-25 09:50:00-04:00,24410.5,stop,-62.34,2026-03-25,tight
orb_retest,short,2026-03-25 10:07:00-04:00,24391.75,2026-03-25 10:07:00-04:00,24422.25,stop,-62.34,2026-03-25,tight
inverse_orb,long,2026-03-25 10:13:00-04:00,24428.5,2026-03-25 10:22:00-04:00,24488.0,target,117.66,2026-03-25,tight
ema_continuation,long,2026-03-25 11:12:00-04:00,24394.0,2026-03-25 11:16:00-04:00,24363.5,stop,-62.34,2026-03-25,tight
ema_continuation,short,2026-03-25 15:51:00-04:00,24356.0,2026-03-25 15:55:00-04:00,24386.5,stop,-62.34,2026-03-25,tight
orb_break,long,2026-03-26 09:46:00-04:00,24155.0,2026-03-26 09:52:00-04:00,24214.5,target,117.66,2026-03-26,tight
orb_break,short,2026-03-26 11:32:00-04:00,24060.25,2026-03-26 11:41:00-04:00,24090.75,stop,-62.34,2026-03-26,tight
orb_retest,long,2026-03-26 09:47:00-04:00,24186.5,2026-03-26 09:47:00-04:00,24156.0,stop,-62.34,2026-03-26,tight
orb_retest,short,2026-03-26 11:34:00-04:00,24062.5,2026-03-26 11:41:00-04:00,24093.0,stop,-62.34,2026-03-26,tight
inverse_orb,long,2026-03-26 11:36:00-04:00,24069.5,2026-03-26 12:17:00-04:00,24039.0,stop,-62.34,2026-03-26,tight
inverse_orb,short,2026-03-26 09:47:00-04:00,24185.5,2026-03-26 09:52:00-04:00,24216.0,stop,-62.34,2026-03-26,tight
orb_break,short,2026-03-27 09:55:00-04:00,23507.0,2026-03-27 10:00:00-04:00,23447.5,target,117.66,2026-03-27,normal
orb_retest,short,2026-03-27 10:13:00-04:00,23501.75,2026-03-27 10:13:00-04:00,23532.25,stop,-62.34,2026-03-27,normal
inverse_orb,long,2026-03-27 10:16:00-04:00,23548.75,2026-03-27 10:22:00-04:00,23518.25,stop,-62.34,2026-03-27,normal
ema_continuation,short,2026-03-27 11:39:00-04:00,23563.0,2026-03-27 12:10:00-04:00,23503.5,target,117.66,2026-03-27,normal
orb_break,short,2026-03-30 09:47:00-04:00,23366.75,2026-03-30 09:57:00-04:00,23307.25,target,117.66,2026-03-30,wide
orb_retest,short,2026-03-30 09:48:00-04:00,23374.0,2026-03-30 09:56:00-04:00,23314.5,target,117.66,2026-03-30,wide
inverse_orb,long,2026-03-30 09:49:00-04:00,23359.0,2026-03-30 09:55:00-04:00,23328.5,stop,-62.34,2026-03-30,wide
